text,date
Apple 카드 등록 + 원화 결제 = 3천원 캐시백,2019.08.22 ~ 2019.09.30
Booking.com 최대 10% 캐시백,2019.07.22 ~ 2019.09.30
KB국민 국방(충성)멤버쉽카드 중추절 최대 50만원 캐시백!,2019.09.01 ~ 2019.09.30
KB국민 마스터카드 해외이용수수료 캐시백,2019.09.01 ~ 2019.09.30
KB국민 비자카드 해외이용수수료 캐시백,2019.09.01 ~ 2019.09.30
"KB국민 앱카드 신규회원 스타벅스 5,000원 모바일 쿠폰",2019.09.01 ~ 2019.09.30
KB국민카드 X NPAY 네이버페이 쓰고 포인트리 충전!,2019.09.01 ~ 2019.09.30
KB국민카드 X SmilePay 스마일페이 쓰고 캐시백 받고~,2019.09.01 ~ 2019.09.30
"KB국민카드 간편추천 추천하면 나는 5만원, 친구는 연회비 캐시백",2019.09.01 ~ 2019.09.30
SEA LIFE 부산아쿠아리움 현장 할인 이벤트,2019.07.29 ~ 2019.09.30
"가온플래티늄, BeV Ⅲ, BeV V 카드 온라인 발급 회원 연회비 최대 5만원 캐시백",2019.09.02 ~ 2019.09.30
가을에도 공연할인은 라이프샵 컬처에서!,2019.09.01 ~ 2019.09.30
개인사업자 전용 카드 연회비 100% 캐시백,2019.09.01 ~ 2019.09.30
국가별 캐시백 3탄! 아시아 5개국,2019.08.19 ~ 2019.09.30
군대 갔다오니 좋다! 나라사랑카드 특별한 혜택,2019.09.01 ~ 2019.09.30
"도시가스요금 자동납부 3,000원 캐시백",2019.09.01 ~ 2019.09.30
등록하GO! 캐시백 받GO! 마스터패스 신규 등록하면 3천원 캐시백!,2019.09.01 ~ 2019.09.30
라이프샵 여행 해외호텔 최대 10% 할인,2019.09.02 ~ 2019.09.30
레진코믹스 X Liiv Mate 최대 29코인 받아가세요!,2019.07.01 ~ 2019.09.30
말만하면 랩이 된다고? 디지털랩이지,2019.08.14 ~ 2019.09.30
무거운 세금 무이자로 가볍게!,2019.09.01 ~ 2019.09.30
"반려동물, 사랑한다면 메리츠 펫보험 자동납부",2019.08.07 ~ 2019.09.30
"온라인 신규 발급 회원, 연회비 100% 캐시백",2019.09.01 ~ 2019.09.30
음악... 좋아하세요? Apple Music 3개월 무료 + 추가 3개월 캐시백,2019.09.01 ~ 2019.09.30
자동으로 혜택 받는 4대 사회보험 자동납부,2019.09.01 ~ 2019.09.30
짜릿한 선택! 전기요금 자동납부 캐시백 이벤트,2019.09.01 ~ 2019.09.30
체크카드 온라인 신규발급 트리플 혜택!,2019.09.02 ~ 2019.09.30
체크카드 직장인 카페인 수혈 지원 이벤트,2019.09.02 ~ 2019.09.30
초중고학교납입금(스쿨뱅킹) 자동납부 캐시백 & 경품 혜택,2019.08.26 ~ 2019.09.30
클릭! 쉽고 빠르고 편리한 KB국민 신용대출!,2019.09.01 ~ 2019.09.30
탄탄대로 오토카드 5만원 캐시백,2019.09.01 ~ 2019.09.30
학원비 최대 4만원 캐시백,2019.08.01 ~ 2019.09.30
합리적인 행복생활 라이프샵 해외여행 더블 혜택 찬스,2019.09.01 ~ 2019.09.30
항공권 예약도 라이프샵 Easy 국제선 항공권 최대 10%할인,2019.09.02 ~ 2019.09.30
해외렌터카 렌탈카스닷컴 10% 할인,2019.08.19 ~ 2019.09.30
해외에서도 5~2개월 무이자 할부,2019.09.01 ~ 2019.09.30
2019 부산 경향하우징페어 / 리빙앤라이프스타일,2019.09.26 ~ 2019.09.29
2019 대구 경향하우징페어 무료입장,2019.09.19 ~ 2019.09.22
체크카드 신학기 준비 캐시백 이벤트,2019.08.20 ~ 2019.09.19
따뜻한 추석 정관장 청구할인,2019.08.23 ~ 2019.09.16
KB국민 나라사랑카드 여기어때 런칭 프로모션,2019.09.03 ~ 2019.09.15
"기아, NC, 한화, 두산 소리질러~! 프로야구 할인",2019.03.11 ~ 2019.09.13
"다양한 경품 팡팡! 여름, 여행, 여가는 KB국민 Visa 체크와!",2019.07.15 ~ 2019.09.13
"5~2, 10개월 무이자할부",2019.07.01 ~ 2019.09.10
KB국민카드 X 듀오 미팅파티 '마음에 들다',2019.08.07 ~ 2019.09.10
KB국민카드가 체크카드 맛집! 체크카드 친구 추천 이벤트,2019.08.19 ~ 2019.09.10
추석맞이 주유비 지원해 주유~,2019.08.19 ~ 2019.09.10
"「KB국민카드 앱」에 로그인하고 포인트 5,000점!",2019.08.22 ~ 2019.09.08
KB국민 나라사랑체크카드 쓰면 캐시백 팡팡!,2019.08.07 ~ 2019.09.06
Trip.com 호텔 예약 10% 즉시 할인,2019.07.15 ~ 2019.09.04
"18만원 청구할인! 스마트폰 구입, 스마트 하게!",2019.08.01 ~ 2019.08.31
2019 Hot Global Festa!,2019.07.15 ~ 2019.08.31
2019 SUMMER FESTIVAL,2019.07.10 ~ 2019.08.31
GS25 편의점에서 나라사랑체크카드 쓰면 불닭볶음면 증정!,2019.08.16 ~ 2019.08.31
HOT한 공연할인과 함께 COOL~한 여름!,2019.08.01 ~ 2019.08.31
KB RAPBEAT FESTIVAL! KB 랩비트페스티벌 초대권 증정 이벤트,2019.08.19 ~ 2019.08.31
KB국민 Easy fly 티타늄카드로 무료항공권부터 달러북까지!,2019.07.22 ~ 2019.08.31
KB국민 골든대로 체크카드 출시 기념 이벤트,2019.06.25 ~ 2019.08.31
KB국민 마스터카드 해외이용수수료 캐시백,2019.08.01 ~ 2019.08.31
KB국민 비자카드 해외이용수수료 캐시백,2019.08.01 ~ 2019.08.31
"KB국민 앱카드 신규회원 최대 10,000점 포인트리 적립",2019.08.01 ~ 2019.08.31
KB국민카드 X L.PAY L.Pay 캐시백 프로젝트,2019.08.01 ~ 2019.08.31
KB국민카드 X SAMSUNGPAY 캐시백 받는 꿀팁!,2019.08.01 ~ 2019.08.31
"KB국민카드 X 오션월드 성인은 특가, 7살까진 무료!",2019.06.29 ~ 2019.08.31
